,Name,Type,ABV,Ratings,Average,-
0,Batch,Porter - American,4.5,2,4.1,-
1,Batch Cream Ale,Cream Ale,4.8,1,3,-
2,Boundless IPA,IPA - American,5.1,23,3.55,-
3,Creemore King Taps Lagered Ale,Lager - Adjunct,5.2,1,3.84,-
4,Creemore Springs Collaboration Altbier,Altbier,5,85,3.64,-
5,Creemore Springs Kellerbier,Lager - Kellerbier / Zwickelbier,5,187,3.91,-
6,Creemore Springs Kölsch Style Ale,Kölsch,4.7,23,3.67,-
7,Creemore Springs Lot 9 Pilsner,Pilsner - Bohemian / Czech,4.7,85,3.52,-
8,Creemore Springs Oktoberfest Lager,Lager - Märzen / Oktoberfest,5.3,37,3.55,-
9,Creemore Springs Pale Wheat,Wheat Beer - American Pale,4.5,1,3.43,-
10,Creemore Springs Premium Lager,Lager - American Amber / Red,5,429,3.85,-
11,Creemore Springs Traditional Pilsner,Pilsner - Bohemian / Czech,5.3,161,3.54,-
12,Creemore Springs UrBock,Bock - Traditional,6,161,3.65,-
13,Helles Blonde Lager,Lager - Helles,4,4,3.69,-
14,Hop & Weizen Hoppy Hefeweizen,Wheat Beer - Hefeweizen,4.7,39,3.6,-
15,Mad & Noisy Brewing Hops & Bolts India Pale Lager,Lager - India Pale Lager (IPL),5.3,176,3.49,-
16,Mad & Noisy Coconut Porter,Porter - American,5.6,10,3.51,-
17,Mad & Noisy Lagered Ale,Kölsch,4.7,33,3.67,-
18,Mad & Noisy Orange Pale Ale,Pale Ale - American,4.5,5,3.75,-
19,Smart Alec,Kölsch,4.7,1,4.02,-
20,Sunny & Share Citrus Saison,Farmhouse Ale - Saison,4.5,14,3.69,-
21,Whole Hopped Lager,Lager - American,5,9,3.69,-
