,Name,Type,ABV,Ratings,Average,-
0,Ožujsko Amber,Lager - American Amber / Red,4.8,6,3.43,-
1,Ozujsko Cool,Low Alcohol Beer,0.5,7,2.29,-
2,Ožujsko Gorka Naranča,Fruit and Field Beer,2,2,2.54,-
3,Ožujsko Grejp,Fruit and Field Beer,2,2,2.04,-
4,Ozujsko Hoppy Lager,Lager - European Pale,5,1,3.2,-
5,Ožujsko Jabuka,Fruit and Field Beer,2.5,3,2.53,-
6,Ožujsko Limun,Fruit and Field Beer,2,6,2.68,-
7,Ozujsko Pivo,Lager - European Pale,5,131,2.86,-
8,Ozujsko Psenicno,Wheat Beer - Hefeweizen,5.1,12,2.75,-
9,Ožujsko Rezano,Lager - European Dark,5.9,5,3.35,-
10,Staropramen Selection,Pilsner - Bohemian / Czech,4.8,2,2.9,-
11,Tomislav Crno Pivo,Porter - Baltic,7.3,56,3.71,-
