,Name,Type,ABV,Ratings,Average,-
0,Branik Svetly,Pilsner - Bohemian / Czech,4.1,28,2.75,-
1,Co-op Czech Premium Lager,Pilsner - Bohemian / Czech,5,12,3.26,-
2,Czech Pilsener Lager [for Sainsbury's),Pilsner - Bohemian / Czech,5,1,3.79,-
3,Prazsky,Pilsner - Bohemian / Czech,4.2,15,2.55,-
4,Sladkuv Mestan,Lager - Light,3.2,6,2.57,-
5,Staropramen 11° (Jedenáctka),Pilsner - Bohemian / Czech,4.7,2,2.84,-
6,Staropramen 3.5%,Lager - Light,3.5,20,2.66,-
7,Staropramen Černý,Lager - European Dark,4.4,92,3.68,-
8,Staropramen D,Lager - European Pale,4,3,2.89,-
9,Staropramen Granat Beer,Lager - European Dark,4.8,70,3.48,-
10,Staropramen Kelt Original Stout,Stout - Sweet / Milk,0,14,3.87,-
11,Staropramen Lager,Pilsner - Bohemian / Czech,5,890,3.37,-
12,Staropramen Lager (Leák),Pilsner - Bohemian / Czech,5,44,3.44,-
13,Staropramen Lemon Cool,Fruit and Field Beer,2,1,2.86,-
14,Staropramen Limited Stories Edition,Pilsner - Bohemian / Czech,0,1,5,-
15,Staropramen Nefiltrovaný (Unfiltered),Pilsner - Bohemian / Czech,5,40,3.36,-
16,Staropramen Non Alcoholic,Low Alcohol Beer,0.49,3,3.4,-
17,Staropramen Pravha,Pilsner - Bohemian / Czech,4,3,3.4,-
18,Staropramen Smíchov,Pilsner - Bohemian / Czech,4,1,3.36,-
19,Staropramen Svetly,Pilsner - Bohemian / Czech,4,27,3.19,-
20,Staropramen Velvet,Pilsner - Bohemian / Czech,5.3,25,3.64,-
21,Vratislav,Pilsner - Bohemian / Czech,5,18,3.12,-
