,Name,Type,ABV,Ratings,Average,-
0,Borsodi,Lager - Adjunct,4.6,35,2.77,-
1,Borsodi Bivaly,Lager - European Strong,6.5,14,3.01,-
2,Borsodi Borostyán,Lager - Vienna,5.2,5,3.17,-
3,Borsodi Búza,Wheat Beer - Witbier,4.6,3,2.48,-
4,Borsodi Friss Bodza,Fruit and Field Beer,1.5,1,2.28,-
5,Borsodi Friss Feketeribizli-Lime,Fruit and Field Beer,2,3,2.21,-
6,Borsodi Friss Grapefruit,Fruit and Field Beer,1.5,2,2.39,-
7,Borsodi Friss Malna,Fruit and Field Beer,1.5,1,2.98,-
8,Borsodi Mester,Lager - European Pale,5,1,3.44,-
9,Borsodi Super Dry,Lager - European Pale,4,2,2.45,-
10,Rakoczi Villagos Sur,Lager - Adjunct,4.5,1,2.32,-
11,Spaten,Pilsner - German,4.5,13,2.89,-
12,St Martin's,Pilsner - German,4,1,1.5,-
13,Staropramen Dark,Lager - European Dark,4.4,1,4,-
