,Name,Type,ABV,Ratings,Average,-
0,Barley Wine,Barleywine - American,12,3,3.13,-
1,Barrel Aged Imperial Porter,Porter - Imperial,13,1,4.26,-
2,Barrel Aged Scottish Export,Scottish Ale,8,7,3.83,-
3,Barrel-Aged Gose,Sour - Gose,4.6,3,3.89,-
4,Berliner Weiss,Sour - Berliner Weisse,3.5,1,4.47,-
5,Black IPL,Lager - Schwarzbier,7,4,3.37,-
6,Blackberry Berliner Weiss,Sour - Berliner Weisse,3.8,0,0,-
7,Blackberry Gose,Sour - Gose,4,41,3.72,-
8,Blonde Ale,Kölsch,4.8,178,3.56,-
9,Brown Ale,Brown Ale - American,5.6,1,3.54,-
10,Citra 7 IPA,IPA - American,7,36,4.05,-
11,Coffee Cream Porter - Double Vanilla,Porter - American,6.2,1,4.03,-
12,Double IPA,IPA - Imperial,8.3,42,4.04,-
13,Double IPA With Grapefruit,IPA - Imperial,8.3,1,4.36,-
14,Export Stout,Stout - Foreign / Export,8,2,3.61,-
15,Gold,Lager - Light,4.2,85,3.09,-
16,Gose,Sour - Gose,4,8,3.96,-
17,Guava Gose,Sour - Gose,4,8,3.35,-
18,Hazy IPA,IPA - New England,6,44,3.8,-
19,Hop Hash,IPA - American,6.8,10,4.05,-
20,Imperial Coffee Porter,Porter - Imperial,9.3,6,4.16,-
21,Imperial IPA,IPA - Imperial,9,14,4,-
22,Imperial Porter,Porter - Imperial,10,3,3.76,-
23,Imperial Stout,Stout - American Imperial,10,3,3.95,-
24,IPA With Passion Fruit,IPA - American,7,1,3.94,-
25,Irish Stout,Stout - Irish Dry,4.2,6,3.59,-
26,Mexican Lager,Lager - Vienna,4.4,7,3.49,-
27,Mosaic IPA,IPA - Imperial,9,358,4.33,-
28,Nelson IPL,Lager - India Pale Lager (IPL),6.8,69,4.08,-
29,Pale Ale,Pale Ale - American,5.5,199,3.72,-
30,Pub Beer,Mild Ale - English Pale,3.2,1,3.64,-
31,Red Ale,Red Ale - American Amber / Red,6.5,7,3.69,-
32,Robust Porter,Porter - Robust,6.2,3,3.95,-
33,RVCA Session IPA,IPA - American,5.5,2,3.68,-
34,Saint Archer Double IPA,IPA - Imperial,8.3,177,4.04,-
35,Saint Archer IPA,IPA - American,7,478,3.91,-
36,Saison,Farmhouse Ale - Saison,5.5,1,3.76,-
37,Scottish Ale,Scottish Ale,7,13,3.61,-
38,Stout,Stout - American,7.5,0,0,-
39,Tropical IPA,IPA - American,7,14,3.93,-
40,Tusk & Grain Barrel Aged Blend No. 3,Strong Ale - American,12,4,4.15,-
41,Tusk & Grain Bourbon Barrel Aged Belgian Quad,Quadrupel (Quad),13.96,7,4.51,-
42,Tusk & Grain Bourbon Barrel Aged Stout With Vanilla Bean.,Stout - American,13.4,1,4.18,-
43,Tusk & Grain Coconut Stout,Stout - American Imperial,13.4,110,4.32,-
44,Tusk & Grain Imperial Porter Aged In Kentucky Bourbon Barrels,Porter - Imperial,12.5,0,0,-
45,Tusk & Grain Imperial Porter W/ Coffee And Mexican Chocolate,Porter - Imperial,12.5,2,4.28,-
46,Tusk & Grain Rye Barrel Aged Rye Stout With Vanilla,Stout - American Imperial,10.59,3,4.24,-
47,Wee Heavy,Scotch Ale / Wee Heavy,9.5,1,3.24,-
48,White Ale,Wheat Beer - Witbier,5,175,3.65,-
