,Name,Type,ABV,Ratings,Average,-
0,Auld Skool Scottish Ale,Scottish Ale,6.25,18,3.7,-
1,B. C. Pub Ale,Blonde Ale - American,3.5,1,3.86,-
2,BC Bitter,Bitter - English,5.5,3,3.65,-
3,Belgian Tripel,Tripel,9,4,3.66,-
4,Belgian Wit,Wheat Beer - Witbier,5,15,3.55,-
5,Brash Knuckles,Brown Ale - American,6.2,6,3.67,-
6,Brockton IPA,IPA - American,6,126,3.4,-
7,Brut IPL,Lager - India Pale Lager (IPL),7.6,1,3.65,-
8,Campground Common,California Common / Steam Beer,5,7,3.62,-
9,Cascadian Dark Ale,IPA - Black / Cascadian Dark Ale,6,19,3.91,-
10,Cennenial IPA,IPA - American,7.8,1,3.74,-
11,Cherry Dubbel,Dubbel,8,1,3.61,-
12,Cloak & Dagger CDA,IPA - Black / Cascadian Dark Ale,6.25,24,3.72,-
13,Cocoa Loco Chocolate Porter,Porter - American,6.5,3,3.96,-
14,Cypress Honey Lager,Lager - American Amber / Red,4.7,110,3.24,-
15,English Bay Pale Ale,Pale Ale - English,5,306,3.24,-
16,False Creek Raspberry Ale,Fruit and Field Beer,4.5,78,3.38,-
17,Fresh Hop ESB,Bitter - English Extra Special / Strong Bitter (ESB),5.6,8,3.37,-
18,Fresh Hop IPA,IPA - American,6.4,2,3.93,-
19,Gastown Amber Ale,Red Ale - American Amber / Red,5.5,28,3.25,-
20,German Style Pilsner,Pilsner - German,5,4,3.07,-
21,GIBitter,Bitter - English,4.8,17,4.11,-
22,Ginger Beer,Herb and Spice Beer,5,20,3.66,-
23,Gose With Nectarine,Sour - Gose,5,5,3.8,-
24,Imperial Chocolate Stout,Stout - American Imperial,8.4,33,3.9,-
25,Infamous IPA,IPA - American,6,57,3.54,-
26,Irish Red,Red Ale - Irish,5,12,3.64,-
27,Island Lager,Lager - American,5,107,3.28,-
28,Japanese Biere de Garde - 2017 Cellar Series,Farmhouse Ale - Bière de Garde,9.5,1,4.19,-
29,Kellerbier,Lager - Kellerbier / Zwickelbier,5.5,7,3.51,-
30,Kitsilano Maple Cream Ale,Cream Ale,5,104,3.35,-
31,Lions Summer Ale,Fruit and Field Beer,4.7,18,3.41,-
32,Lions Winter Ale,Winter Warmer,5.5,270,3.79,-
33,Maple Shack Cream Ale,Cream Ale,5,18,3.47,-
34,Mocha Porter,Porter - American,6,11,3.81,-
35,Nat Bailey Lager,Lager - Adjunct,5,5,3.2,-
36,Nat Bailey Pale Ale,Pale Ale - American,5,17,3.1,-
37,Northwest Pale Ale,Pale Ale - American,5.3,4,3.3,-
38,Nut Brown Ale,Brown Ale - English,5,21,3.58,-
39,Pacific Northwest Porter,Porter - American,6,2,3.69,-
40,Saison,Farmhouse Ale - Saison,6.5,17,3.67,-
41,Saison Belgian Style,Farmhouse Ale - Saison,6.3,12,3.75,-
42,Scottish Ale,Scottish Ale,6.5,9,3.8,-
43,Shamrocker Potato Stout,Stout - Irish Dry,4.8,10,3.65,-
44,Shipload Of Hops,IPA - Imperial,8.9,32,3.25,-
45,So-Cal Style IPA,IPA - American,7.8,11,3.74,-
46,Sunshine Coast Hefeweizen,Wheat Beer - Hefeweizen,5,165,3.55,-
47,Swing Span Amber,Red Ale - American Amber / Red,4.5,20,3.59,-
48,The Pumpkining,Fruit and Field Beer,6,29,3.38,-
49,Tropical Stout,Stout - Foreign / Export,7.6,2,3.78,-
50,Two Tides India Session Ale,IPA - American,4.6,54,3.61,-
51,Van Dame White ISA,Wheat Beer - Witbier,4.5,6,3.9,-
52,Watermelon Lager,Fruit and Field Beer,5,2,3.49,-
53,West Coast IPA,IPA - American,6.5,5,3.52,-
54,West Coast Pale Ale,Pale Ale - American,5.5,12,3.76,-
55,Winter Wit,Wheat Beer - Witbier,6,2,3.51,-
